Sigma;Epsilon
436;0.0475
532.799959;0.0505
634.4;0.0545
734.599948;0.0575
832.8;0.06
935;0.063
1033.19991;0.066
1134;0.068
1234.9;0.0705
1332.9;0.072
434.6;0.0685
535.5;0.069
633;0.0695
834.099948;0.071
1034.5;0.072
1235.5;0.073
1436.1;0.0745
1633;0.076
1836;0.078
2035;0.0805
2235.2;0.083
2434.89981;0.085
2232.60021;0.085
2035;0.085
1835.30009;0.0845
1734.9;0.0845
1635.1;0.0845
1534.6;0.0845
1435.4;0.0845
1233.5;0.0845
1134;0.0845
1034.5;0.0845
936.3;0.084
833.4;0.084
735.900044;0.0835
635;0.083
534.2;0.082
