Size;GJ6855;GJ6822;GJ6865;GJ6807;GJ6864;GJ68A3;GJ6805;GJ68A0;GJ6859;GJ6884;GJ6888;GJ6890;GJ6846;GJ6838;GJ6898;GJ68B7;GJ6874;GJ6835
20;100;100;100;100;100;100;99.99999999;100;100;100;100;100;100;100;100;99.99999999;100;100
10;100;100;100;100;100;100;99.99999999;100;100;100;100;100;100;100;100;99.99999999;100;100
5;100;100;100;100;100;100;99.99999999;100;100;100;100;100;100;100;100;99.99999999;100;100
2;100;100;100;100;100;100;99.99999999;100;100;100;100;100;100;100;100;99.99999999;100;100
1;100;100;100;100;100;100;99.99999999;100;100;100;100;100;100;100;100;99.99999999;100;100
0.5;97.3;99.8;96.90000001;97.30000001;97.10000001;97.30000001;96.59999999;98;95.9;99.7;98.2;98.9;99.8;95.4;100;95.79999999;99.8;94.9
0.25;89.3;99.3;88.40000001;90.60000001;88.20000001;90.00000001;87.89999999;91.2;85.8;97.6;90.5;91.7;96.8;84.3;99.3;87.39999999;99.1;86.1
0.1;70.1;98.4;68.80000001;76.60000001;68.20000001;74.50000001;70.79999999;74.4;65.7;93.3;80.7;80.1;90.8;66.1;97.7;69.99999999;97.7;68.2
0.05;37.3747071;86.02115635;38.42976456;42.60776086;36.35102825;44.24427758;38.08918478;42.6742644;34.32752522;69.2643037;50.72601602;48.29011047;68.72747071;29.56432771;78.43546831;40.41481776;80.81678069;32.59777823
0.01;27.95984287;58.40941349;21.67303976;20.79327599;23.64685213;27.76404151;17.4409368;29.74382297;24.81482947;43.53769317;29.32656308;25.61411417;47.53705721;16.9900541;31.16923777;25.58521733;51.58304959;20.45625057
0.002;21.61367654;28.76475397;9.706752221;11.05523604;14.61124921;14.9719373;9.992242927;21.10186499;15.92285571;21.44699063;14.61132082;11.23053253;25.00407943;8.359088101;19.23920866;17.44620946;23.16961211;10.78621348
